[TIME] 	 [SIGNAL] 	 [CH] 	 [BSSID] 
18:27:20 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:24 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:28 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:32 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:36 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:40 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:44 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:48 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:52 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:27:56 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:00 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:04 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:09 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:13 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:18 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:23 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:28 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:33 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:38 	 95%  		 6 	 cc:f4:11:6a:b6:87 
18:28:43 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:48 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:53 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:28:58 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:03 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:08 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:13 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:18 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:23 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:28 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:33 	 84%  		 6 	 cc:f4:11:6a:b6:87 
18:29:38 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:43 	 84%  		 6 	 cc:f4:11:6a:b6:87 
18:29:48 	 84%  		 6 	 cc:f4:11:6a:b6:87 
18:29:53 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:29:58 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:30:03 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:30:08 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:30:12 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:30:17 	 99%  		 6 	 cc:f4:11:6a:b6:87 
18:30:22 	 99%  		 6 	 cc:f4:11:6a:b6:87 
